x,y,z
44.314663,-78.347124,220.4
44.314678,-78.346913,220.3
44.314711,-78.346662,220.2
44.31474,-78.346412,220.0
44.314718,-78.346169,219.9
44.314649,-78.345916,219.7
44.314672,-78.34567,219.8
44.314605,-78.345402,219.8
44.314584,-78.345141,219.6
44.314551,-78.34487,219.1
44.314518,-78.344588,218.4
44.314493,-78.344305,218.0
44.314472,-78.344048,217.6
44.314449,-78.343762,217.5
44.314417,-78.343479,217.4
44.314379,-78.343225,217.2
44.314315,-78.342984,216.9
44.314268,-78.342738,216.4
44.314202,-78.342481,216.1
44.314128,-78.342213,215.7
44.314091,-78.342089,215.5
